Codigo;Mes;Demanda_Unid
'74;2020-09-01;57,0
'74;2024-11-01;2,0
'75;2020-07-01;71,0
'76;2023-10-01;38,0
'76;2024-07-01;0,0
'77;2022-07-01;0,0
'77;2023-08-01;51,0
'78;2024-09-01;6,0
'79;2020-10-01;53,0
'80;2023-12-01;97,0
'80;2024-09-01;43,0
'81;2020-12-01;20,0
'82;2021-08-01;0,0
'84;2020-04-01;75,0
'84;2020-09-01;93,0
'84;2021-01-01;89,0
'84;2022-04-01;57,0
'85;2020-03-01;76,0
'85;2020-10-01;0,0
'86;2023-03-01;17,0
'86;2024-03-01;36,0
'87;2021-01-01;7,0
'87;2023-09-01;87,0
'87;2024-03-01;42,0
'89;2020-11-01;0,0
'89;2022-07-01;16,0
'89;2024-12-01;45,0
'89;2025-01-01;50,0
'89;2025-08-01;84,0
'9;2023-12-01;0,0
'9;2024-04-01;4,0
'90;2021-05-01;12,0
'90;2025-03-01;16,0
'91;2021-03-01;0,0
'91;2024-01-01;0,0
'91;2025-11-01;39,0
'92;2020-07-01;0,0
'92;2023-08-01;8,0
'92;2025-04-01;97,0
'93;2020-02-01;0,0
'93;2022-09-01;33,0
'93;2025-04-01;16,0
'97;2024-12-01;63,0
'98;2021-10-01;0,0
'98;2023-08-01;51,0
(Automático);2024-03-01;0,0
A1;2021-04-01;0,0
A1;2022-08-01;41,0
ABZ-00001;2024-08-01;86,0
ABZ-00002;2025-08-01;13,0
ABZ-00004;2020-07-01;0,0
ABZ-00004;2024-06-01;0,0
ABZ-00007;2021-05-01;89,0
ABZ-00007;2021-07-01;51,0
ABZ-00007;2023-05-01;33,0
ABZ-00007;2024-08-01;35,0
ABZ-00008;2021-06-01;69,0
ABZ-00008;2025-07-01;72,0
ABZ-00009;2024-02-01;66,0
ABZ-00009;2025-07-01;20,0
ABZ-00011;2024-11-01;44,0
ABZ-00013;2020-07-01;25,0
ABZ-00013;2020-09-01;30,0
ABZ-00014;2022-07-01;0,0
ABZ-00014;2023-12-01;55,0
ABZ-00014;2024-06-01;19,0
ABZ-00015;2025-01-01;28,0
ABZ-00018;2022-04-01;0,0
ABZ-00018;2024-12-01;0,0
ABZ-00018;2025-06-01;86,0
ABZ-00019;2021-12-01;23,0
ABZ-00021;2022-08-01;35,0
ABZ-00022;2023-01-01;57,0
ABZ-00023;2021-01-01;99,0
ABZ-00023;2024-12-01;0,0
ABZ-00024;2023-01-01;89,0
ABZ-00025;2025-04-01;0,0
ABZ-00027;2020-04-01;100,0
ABZ-00029;2020-12-01;89,0
ABZ-00029;2023-05-01;0,0
ABZ-00029;2025-04-01;17,0
ABZ-00029;2025-09-01;57,0
ABZ-00030;2024-08-01;0,0
ABZ-00032;2022-11-01;26,0
ABZ-00032;2024-06-01;69,0
AC-00001;2020-05-01;94,0
AC-00001;2021-05-01;29,0
AC-00001;2021-08-01;62,0
ARAN-00002;2024-05-01;19,0
ARAN-00002;2025-11-01;93,0
ARAN-00003;2025-07-01;70,0
ARAN-00004;2023-04-01;5,0
ARAN-00005;2024-02-01;46,0
BAD-00001;2020-08-01;73,0
BAD-00002;2020-12-01;0,0
BANE-00002;2021-12-01;87,0
BANE-00002;2022-07-01;6,0
BANE-00002;2024-01-01;0,0
BANE-00003;2022-05-01;34,0
BANE-00003;2025-08-01;80,0
BANE-00004;2025-02-01;99,0
BANE-00006;2025-03-01;23,0
BANE-00006;2025-05-01;13,0
BANE-00006;2025-07-01;33,0
BANE-00008;2022-09-01;23,0
BANE-00008;2025-10-01;0,0
BANE-00009;2024-10-01;78,0
BANE-00010;2022-09-01;0,0
BANE-00010;2023-01-01;41,0
BANE-00011;2021-08-01;84,0
BANE-00014;2020-08-01;0,0
BANE-00014;2022-12-01;38,0
BANE-00015;2022-01-01;52,0
BANE-00015;2025-11-01;15,0
BANE-00016;2022-04-01;79,0
BANE-00017;2024-07-01;77,0
BANE-00018;2024-07-01;32,0
BANE-00019;2021-02-01;70,0
BANE-00019;2021-07-01;0,0
BANE-00020;2021-01-01;17,0
BANE-00020;2021-04-01;87,0
BANE-00020;2021-08-01;61,0
BANE-00022;2021-04-01;93,0
BANE-00022;2023-06-01;0,0
BANE-00022;2023-08-01;24,0
BANE-00022;2024-12-01;0,0
BANE-00023;2020-04-01;97,0
BANE-00023;2023-09-01;73,0
BANE-00024;2021-09-01;97,0
BANE-00026;2024-11-01;0,0
BANE-00028;2022-06-01;60,0
BANE-00029;2021-11-01;53,0
BANE-00030;2020-03-01;76,0
BANE-00031;2021-02-01;11,0
BANE-00033;2021-04-01;84,0
BANE-00033;2022-10-01;53,0
BANE-00034;2022-02-01;91,0
BANE-00035;2020-02-01;99,0
BANE-00036;2022-06-01;0,0
BANE-00037;2023-06-01;42,0
BANE-00038;2022-07-01;33,0
BANE-00038;2023-11-01;55,0
BANE-00038;2024-03-01;0,0
BANE-00041;2021-02-01;17,0
BANE-00041;2024-07-01;41,0
BANE-00041;2025-02-01;24,0
BANE-00042;2021-11-01;4,0
BANE-00043;2021-08-01;0,0
BANE-00044;2022-04-01;68,0
BANE-00044;2023-07-01;13,0
BANE-00045;2023-08-01;97,0
BANE-00046;2020-01-01;0,0
BANE-00046;2021-02-01;11,0
BANE-00046;2022-10-01;32,0
BANE-00046;2024-02-01;7,0
BANE-00047;2025-12-01;9,0
BANE-00048;2022-06-01;25,0
BANE-00048;2023-06-01;28,0
BANE-00049;2024-04-01;22,0
BANE-00050;2021-07-01;71,0
BANL-00001;2022-01-01;78,0
BANL-00002;2023-08-01;27,0
BANL-00003;2020-03-01;60,0
BANL-00003;2020-10-01;69,0
BANL-00004;2022-01-01;56,0
BANL-00004;2024-04-01;0,0
BANL-00007;2021-07-01;83,0
BANL-00008;2024-02-01;0,0
BANL-00009;2023-02-01;77,0
BANL-00009;2025-11-01;99,0
BANL-00010;2020-06-01;0,0
BANL-00010;2020-12-01;12,0
BANL-00010;2025-09-01;0,0
BANL-00011;2022-02-01;63,0
BANL-00011;2023-02-01;0,0
BANL-00012;2021-11-01;0,0
BANL-00012;2023-07-01;86,0
BANL-00012;2024-10-01;2,0
BANL-00012;2025-04-01;0,0
BANL-00013;2021-02-01;9,0
BANL-00015;2021-06-01;0,0
BANL-00015;2025-01-01;4,0
BANL-00015;2025-12-01;14,0
BANL-00016;2020-06-01;0,0
BANL-00016;2020-07-01;63,0
BANL-00017;2020-08-01;92,0
BANL-00017;2020-09-01;0,0
BANL-00018;2022-02-01;0,0
BANL-00018;2025-12-01;69,0
BANL-00019;2024-07-01;5,0
BANL-00020;2025-06-01;0,0
BANL-00021;2020-07-01;69,0
BANL-00021;2025-12-01;53,0
BANL-00022;2024-04-01;16,0
BANL-00022;2025-12-01;49,0
BANL-00023;2020-05-01;22,0
BANL-00023;2025-02-01;96,0
BANL-00025;2023-03-01;0,0
BANL-00026;2025-05-01;38,0
BANL-00027;2021-11-01;10,0
BANL-00027;2022-10-01;22,0
BANL-00027;2024-04-01;69,0
BANL-00027;2025-08-01;65,0
BANL-00028;2024-11-01;65,0
BANL-00029;2021-10-01;45,0
BANL-00029;2024-08-01;46,0
BANL-00030;2025-08-01;25,0
BANL-00030;2025-09-01;0,0
BANL-00031;2021-05-01;72,0
BANP-00001;2024-05-01;68,0
BANP-00001;2025-04-01;66,0
BANR-00001;2025-09-01;0,0
BANR-00002;2020-05-01;0,0
BANR-00002;2021-07-01;80,0
BANR-00005;2025-12-01;0,0
BANR-00006;2022-11-01;65,0
BANR-00006;2024-04-01;0,0
BANR-00007;2022-06-01;47,0
BANR-00007;2022-11-01;0,0
BANR-00008;2021-01-01;46,0
BANR-00009;2021-03-01;55,0
BANR-00011;2020-12-01;25,0
BANR-00011;2022-09-01;2,0
BANR-00011;2025-05-01;0,0
BANR-00012;2020-12-01;22,0
BANR-00012;2021-07-01;55,0
BANR-00012;2025-06-01;62,0
BANR-00013;2021-02-01;76,0
BANR-00014;2020-11-01;17,0
BANR-00014;2023-08-01;36,0
BANR-00014;2023-11-01;59,0
BANR-00016;2020-08-01;75,0
BANR-00016;2023-09-01;82,0
BANR-00016;2024-04-01;0,0
BANR-00018;2024-02-01;0,0
BANR-00019;2020-09-01;0,0
BANR-00019;2023-06-01;7,0
BANR-00020;2023-04-01;0,0
BANR-00020;2025-02-01;3,0
BANR-00022;2022-11-01;0,0
BANR-00022;2023-04-01;84,0
BANR-00022;2025-08-01;41,0
BANR-00023;2020-11-01;10,0
BANR-00023;2022-12-01;21,0
BANR-00024;2023-08-01;0,0
BANR-00024;2024-02-01;29,0
BANR-00025;2023-04-01;42,0
BANR-00025;2024-09-01;26,0
BANR-00027;2025-05-01;0,0
BANR-00028;2022-02-01;84,0
BANR-00028;2023-12-01;11,0
BANR-00028;2025-06-01;72,0
BANR-00030;2022-04-01;98,0
BANR-00030;2024-04-01;0,0
BANR-00030;2024-07-01;0,0
BANR-00031;2020-06-01;16,0
BANR-00032;2021-04-01;0,0
BANR-00032;2023-04-01;76,0
BANR-00032;2025-05-01;50,0
BANR-00033;2023-06-01;50,0
BANR-00033;2023-07-01;0,0
BANR-00033;2025-01-01;59,0
BANR-00035;2022-02-01;19,0
BANR-00036;2020-07-01;0,0
BANR-00036;2025-11-01;86,0
BANR-00038;2022-09-01;4,0
BANR-00039;2020-05-01;0,0
BANR-00039;2024-08-01;11,0
BANR-00039;2025-03-01;0,0
BANR-00039;2025-07-01;87,0
BANR-00040;2023-09-01;0,0
BANR-00041;2020-06-01;61,0
BANR-00042;2022-02-01;47,0
BANR-00042;2023-04-01;0,0
BANR-00042;2025-03-01;0,0
BANR-00043;2023-09-01;36,0
BANR-00047;2022-09-01;90,0
BANR-00048;2022-10-01;0,0
BANR-00049;2021-06-01;80,0
BANR-00049;2025-02-01;50,0
BANR-00049;2025-04-01;0,0
BANR-00050;2022-09-01;14,0
BANR-00050;2022-12-01;78,0
BANR-00051;2023-09-01;68,0
BANR-00052;2022-12-01;28,0
BANR-00053;2021-06-01;57,0
BANR-00053;2021-07-01;0,0
BANR-00053;2023-03-01;0,0
BANR-00053;2025-01-01;2,0
BANR-00054;2022-11-01;129,0
BANR-00055;2024-02-01;31,0
BANR-00056;2021-01-01;41,0
BANR-00056;2023-01-01;45,0
BANR-00057;2021-09-01;0,0
BANR-00057;2021-11-01;84,0
BANR-00060;2024-10-01;0,0
BANR-00061;2020-08-01;20,0
BANR-00061;2025-12-01;54,0
BANR-00062;2025-07-01;41,0
BANR-00063;2020-12-01;0,0
BANR-00064;2021-06-01;0,0
BANR-00064;2025-03-01;6,0
BANR-00067;2022-06-01;58,0
BANR-00069;2025-05-01;69,0
BANR-00070;2025-12-01;0,0
BANR-00071;2025-03-01;0,0
BANR-00072;2023-05-01;26,0
BANR-00074;2021-05-01;82,0
BANR-00074;2023-12-01;0,0
BANR-00075;2023-03-01;33,0
BANR-00075;2025-02-01;8,0
BANR-00080;2025-03-01;58,0
BANR-00081;2024-02-01;65,0
BANR-00082;2021-01-01;59,0
BANR-00083;2023-11-01;44,0
BANR-00084;2021-05-01;63,0
BANR-00084;2021-11-01;17,0
BANR-00084;2022-12-01;20,0
BANR-00084;2023-06-01;38,0
BANR-00084;2025-03-01;61,0
BANR-00088;2021-02-01;29,0
BANR-00089;2021-07-01;72,0
BANR-00089;2023-11-01;57,0
BANR-00089;2024-04-01;90,0
BANR-00090;2023-02-01;0,0
BANR-00093;2021-07-01;63,0
BANR-00093;2021-08-01;35,0
BANR-00093;2022-06-01;37,0
BANR-00093;2023-12-01;6,0
BANR-00093;2024-06-01;69,0
BANR-00095;2023-07-01;60,0
BANR-00095;2024-05-01;91,0
BANR-00096;2021-01-01;11,0
BANR-00096;2023-07-01;0,0
BANR-00096;2024-02-01;43,0
BANR-00096;2024-07-01;98,0
BANR-00097;2022-12-01;0,0
BANR-00099;2020-09-01;0,0
BANR-00099;2022-09-01;73,0
BANR-00099;2023-11-01;49,0
BANR-00099;2024-01-01;31,0
BANR-00099;2025-03-01;60,0
BANR-00100;2024-01-01;91,0
BANR-00101;2020-09-01;0,0
BANR-00101;2022-05-01;73,0
BANR-00101;2024-12-01;72,0
BANR-00102;2024-10-01;76,0
BANR-00103;2020-08-01;39,0
BANR-00105;2021-07-01;14,0
BANR-00105;2022-03-01;0,0
BANR-00108;2025-08-01;91,0
BANR-00109;2021-10-01;0,0
BANR-00109;2022-10-01;69,0
BANR-00109;2024-07-01;44,0
BANR-00109;2025-05-01;28,0
BASE-00001;2023-12-01;97,0
BATD-00001;2020-02-01;0,0
BATD-00001;2023-01-01;0,0
BEQ-00001;2022-07-01;0,0
BROC-00002;2023-01-01;25,0
BROC-00002;2025-07-01;0,0
BROC-00003;2023-09-01;21,0
BROC-00004;2022-11-01;46,0
BROC-00005;2021-12-01;2,0
BROC-00005;2024-04-01;100,0
BTM-00002;2020-11-01;98,0
BTN-00001;2022-08-01;0,0
BTN-00001;2024-03-01;7,0
CABLE-00003;2023-09-01;45,0
CABLE-00005;2020-10-01;7,0
CABLE-00005;2021-07-01;58,0
CABLE-00005;2024-07-01;15,0
CABLE-00006;2020-01-01;69,0
CABLE-00006;2025-09-01;40,0
CABLE-00007;2020-05-01;72,0
CABLE-00007;2025-03-01;62,0
CABLE-00008;2021-09-01;59,0
CABLE-00009;2024-11-01;0,0
CABLE-00011;2023-11-01;13,0
CABLE-00011;2025-08-01;40,0
CABLE-00012;2022-04-01;51,0
CABLE-00013;2020-12-01;15,0
CABLE-00016;2025-04-01;0,0
CABLE-00018;2020-11-01;0,0
CABLE-00018;2023-10-01;65,0
CABLE-00018;2024-05-01;39,0
CABLE-00019;2021-04-01;0,0
CABLE-00019;2025-04-01;0,0
CABLE-00019;2025-11-01;82,0
CABLE-00020;2021-10-01;61,0
CABLE-00020;2022-12-01;47,0
CABLE-00020;2025-08-01;93,0
CABLE-00021;2021-01-01;0,0
CABLE-00023;2022-10-01;46,0
CABLE-00023;2023-05-01;85,0
CABLE-00023;2025-04-01;67,0
CABLE-00024;2022-03-01;3,0
CABLE-00024;2024-08-01;54,0
CABLE-00028;2020-10-01;59,0
CABLE-00029;2024-03-01;0,0
CABLE-00030;2024-07-01;79,0
CABLE-00031;2025-04-01;0,0
CABLE-00031;2025-11-01;53,0
CABLE-00032;2022-12-01;41,0
CABLE-00034;2020-09-01;92,0
CCL-00002;2020-09-01;0,0
CCL-00002;2021-10-01;70,0
CCL-00002;2022-01-01;0,0
CCL-00002;2022-04-01;48,0
CCL-00003;2022-03-01;43,0
CCL-00003;2024-06-01;87,0
CCL-00003;2025-06-01;27,0
CCL-00004;2022-06-01;61,0
CCL-00004;2024-04-01;0,0
CCL-00004;2024-06-01;6,0
CCL-00004;2025-01-01;25,0
CCL-00004;2025-12-01;0,0
CCL-00005;2021-01-01;0,0
CCL-00006;2025-02-01;36,0
CCL-00006;2025-04-01;0,0
CCL-00007;2020-08-01;0,0
CCL-00008;2024-09-01;72,0
CCL-00009;2022-08-01;9,0
CCL-00010;2023-06-01;30,0
CCL-00010;2024-03-01;23,0
CCL-00010;2025-11-01;67,0
CCL-00013;2021-10-01;37,0
CCL-00014;2021-09-01;43,0
CCL-00015;2021-01-01;75,0
CCL-00015;2022-03-01;100,0
CCL-00015;2025-12-01;71,0
CCL-00016;2020-01-01;45,0
CCL-00016;2023-06-01;0,0
CCL-00016;2024-01-01;41,0
CCL-00017;2020-10-01;0,0
CCL-00019;2022-11-01;72,0
CCL-00019;2023-12-01;0,0
CCL-00020;2022-08-01;66,0
CCL-00024;2020-07-01;0,0
CECCD-00001;2023-08-01;7,0
CECCD-00001;2025-07-01;0,0
CEO 002;2020-10-01;0,0
CEO 002;2021-04-01;79,0
CEO 002;2023-09-01;0,0
CEO 002;2025-07-01;0,0
CEO 003;2020-01-01;69,0
CEO 005;2023-02-01;38,0
CEO 007;2024-06-01;99,0
CEO 009;2022-09-01;28,0
CEO 010;2023-01-01;0,0
CEO 010;2025-03-01;0,0
CEO 011;2020-10-01;65,0
CEO 011;2020-11-01;0,0
CEO 011;2022-03-01;23,0
CEO-012;2022-03-01;61,0
CEO-012;2023-08-01;0,0
CEO-013;2022-05-01;94,0
CEO-013;2023-08-01;76,0
CEO-014;2022-03-01;93,0
CEO-015;2022-09-01;73,0
CEO-015;2023-05-01;36,0
CEO-016;2020-03-01;34,0
CEO-017;2024-10-01;59,0
CEO-017;2025-11-01;47,0
CEO-018;2023-03-01;47,0
CEO-018;2023-11-01;13,0
CEO-019;2020-08-01;8,0
CEO-019;2024-12-01;80,0
CEO-021;2022-03-01;91,0
CEO-021;2024-12-01;10,0
CEO-022;2020-01-01;61,0
CEO-022;2022-11-01;0,0
CEO-023;2022-11-01;42,0
CEO-023;2025-02-01;6,0
CEO-026;2021-03-01;12,0
CEO-026;2021-09-01;18,0
CEO-027;2020-09-01;69,0
CEO-027;2021-07-01;17,0
CEO-028;2023-04-01;0,0
CEO-028;2025-10-01;0,0
CEO-029;2020-03-01;58,0
CEO-029;2020-10-01;23,0
CEO-030;2021-06-01;16,0
CEO-030;2021-10-01;37,0
CEO-030;2021-12-01;13,0
CEO-031;2023-09-01;0,0
CEO-032;2020-01-01;71,0
CEO-032;2025-01-01;85,0
CEO-032;2025-02-01;91,0
CEO-034;2023-06-01;88,0
CEO-034;2024-08-01;0,0
CEO-036;2022-05-01;26,0
CEO-036;2025-08-01;11,0
CEO-036;2025-12-01;7,0
CER 001;2025-02-01;0,0
CER 003;2021-12-01;69,0
CER 003;2025-04-01;6,0
CER 004;2023-09-01;2,0
CER 006;2022-05-01;9,0
CER 007;2021-10-01;0,0
CER 007;2021-11-01;100,0
CER 008;2021-07-01;16,0
CER 008;2024-05-01;34,0
CER 009;2023-06-01;76,0
CER 009;2024-06-01;0,0
CER 013;2024-03-01;89,0
CERCD-00001;2022-06-01;2,0
CERCD-00001;2023-11-01;82,0
CERCD-00001;2025-05-01;38,0
CERCD-00002;2020-01-01;44,0
CERCD-00002;2020-09-01;56,0
CERCD-00004;2022-11-01;93,0
CERCD-00005;2020-09-01;88,0
CERCD-00005;2023-07-01;73,0
CERCD-00006;2022-08-01;12,0
CERCD-00006;2023-10-01;24,0
CERCD-00006;2024-06-01;92,0
CERE 001;2020-11-01;14,0
CERE 001;2023-04-01;0,0
CERE 001;2024-02-01;12,0
CERE 002;2021-09-01;0,0
CERE 002;2024-05-01;88,0
CERE 003;2023-11-01;54,0
CERE 003;2025-09-01;0,0
CERE 004;2022-04-01;93,0
CERE 005;2025-08-01;0,0
CERE 006;2022-10-01;2,0
CERE 006;2024-03-01;54,0
CERE-007;2023-04-01;74,0
CERE-007;2023-08-01;48,0
CERE-007;2025-06-01;50,0
CERE-008;2020-05-01;0,0
CERE-008;2020-07-01;65,0
CERE-008;2023-04-01;66,0
CERE-008;2023-11-01;90,0
CERE-008;2024-08-01;0,0
CERE-009;2024-08-01;15,0
CERE-010;2022-10-01;65,0
CERE-011;2020-10-01;0,0
CERE-011;2025-10-01;97,0
CERE-013;2020-08-01;0,0
CERE-013;2021-08-01;63,0
CERE-013;2021-11-01;88,0
CERE-013;2023-05-01;88,0
CERE-013;2025-08-01;39,0
CERE-014;2023-06-01;65,0
CERE-014;2023-10-01;30,0
CERE-014;2025-05-01;62,0
CERE-014;2025-09-01;0,0
CERE-015;2023-07-01;84,0
CHP-00001;2020-07-01;82,0
CHP-00001;2020-09-01;43,0
CHP-00001;2024-01-01;48,0
CJBAME-00001;2020-10-01;0,0
CJBAME-00002;2021-01-01;10,0
CJBAME-00002;2024-06-01;34,0
CJBAME-00003;2021-11-01;80,0
CJBAME-00003;2022-06-01;67,0
CJBAME-00003;2025-05-01;0,0
CJBAME-00003;2025-12-01;59,0
CJBAME-00005;2025-11-01;86,0
CJBAME-00006;2020-08-01;0,0
CJBAME-00007;2022-01-01;0,0
CJBAME-00007;2022-07-01;42,0
CJBAME-00007;2022-09-01;42,0
CJBAME-00008;2020-10-01;14,0
CJBAME-00008;2023-04-01;98,0
CJBAME-00008;2024-04-01;44,0
CJBAME-00009;2024-06-01;6,0
CJBAME-00009;2024-12-01;64,0
CJBAME-00009;2025-03-01;32,0
CJBAME-00010;2021-01-01;0,0
CJBAME-00010;2022-07-01;68,0
CJBAME-00010;2022-12-01;4,0
CJBAME-00010;2024-03-01;29,0
CJBAME-00011;2020-07-01;0,0
CJBAME-00011;2020-10-01;99,0
CJBAME-00011;2020-11-01;76,0
CJBAME-00011;2024-05-01;0,0
CJBAME-00012;2021-10-01;48,0
CJBAME-00013;2021-01-01;66,0
CJBAME-00013;2025-04-01;93,0
CJBAME-00015;2024-10-01;0,0
CJBAME-00015;2025-12-01;0,0
CJBAME-00016;2020-11-01;31,0
CJBAME-00016;2021-09-01;32,0
CJBAME-00017;2022-07-01;43,0
CJBAME-00019;2020-03-01;29,0
CJBAME-00019;2020-04-01;17,0
CJBAME-00019;2025-06-01;48,0
CJBAME-00020;2020-12-01;8,0
CJBAME-00020;2021-03-01;16,0
CJBAME-00021;2021-07-01;14,0
CJBAME-00021;2024-09-01;18,0
CJBAME-00023;2023-05-01;57,0
CJBAME-00025;2025-07-01;35,0
CJBAME-00026;2023-01-01;6,0
CJBAME-00026;2023-06-01;90,0
CJBAME-00026;2025-08-01;14,0
CJBAME-00027;2022-05-01;16,0
CJBAME-00027;2023-05-01;76,0
CJBAME-00027;2023-10-01;80,0
CJBAME-00029;2021-09-01;45,0
CJBAME-00029;2025-08-01;41,0
CJBAME-00033;2023-10-01;6,0
CJBAME-00033;2024-09-01;0,0
CJBAME-00034;2021-01-01;39,0
CJBAME-00035;2022-02-01;0,0
CJBAME-00036;2022-04-01;0,0
CJBAME-00036;2023-01-01;62,0
CJBAME-00036;2023-10-01;95,0
CJBAME-00037;2024-05-01;58,0
CJBAME-00038;2022-02-01;0,0
CJBAME-00038;2023-02-01;25,0
CJBAME-00039;2022-02-01;0,0
CJBAME-00040;2022-04-01;85,0
CJBAME-00041;2022-06-01;0,0
CJBAME-00041;2024-11-01;12,0
CJBAME-00043;2021-02-01;71,0
CJBAME-00043;2024-05-01;0,0
CJBAME-00046;2021-02-01;62,0
CJBAME-00046;2022-05-01;0,0
CJBAME-00046;2024-12-01;96,0
CJBAME-00046;2025-02-01;93,0
CJBAME-00047;2020-12-01;0,0
CJBAME-00048;2020-12-01;65,0
CJBAME-00048;2025-06-01;94,0
CJBAME-00049;2021-11-01;23,0
CJBAME-00049;2025-09-01;72,0
CJBAME-00049;2025-11-01;0,0
CJBAME-00049;2025-12-01;18,0
CJBAME-00050;2023-10-01;79,0
CJBAME-00050;2025-01-01;0,0
CJBAME-00051;2020-04-01;0,0
CJBAME-00052;2021-02-01;10,0
CJBAME-00053;2021-10-01;3,0
CJBAME-00053;2022-12-01;89,0
CJBAME-00056;2023-11-01;0,0
CJBAME-00056;2025-11-01;67,0
CJBAME-00057;2025-02-01;2,0
CJBAME-00059;2021-04-01;0,0
CJBAME-00059;2021-12-01;0,0
CJBAME-00059;2022-08-01;0,0
CJBAME-00059;2023-11-01;71,0
CJBAME-00059;2025-11-01;7,0
CJBAME-00060;2022-04-01;0,0
CJBAME-00060;2024-05-01;37,0
CJBAME-00062;2021-06-01;32,0
CJBAME-00062;2023-01-01;37,0
CJBAME-00062;2025-08-01;4,0
CJBAME-00063;2021-09-01;0,0
CJBAME-00063;2022-04-01;0,0
CJBAME-00066;2024-08-01;73,0
CJBAME-00067;2021-02-01;0,0
CJBAME-00067;2025-10-01;0,0
CJBAME-00068;2024-01-01;37,0
CJBAME-00069;2021-01-01;7,0
CJBAME-00069;2025-04-01;43,0
CJBAME-00071;2022-03-01;78,0
CJBAME-00071;2022-06-01;91,0
CJBAME-00071;2023-09-01;26,0
CJBAME-00073;2021-04-01;0,0
CJBAME-00074;2022-02-01;0,0
CJBAME-00075;2023-06-01;62,0
CJBAME-00076;2021-02-01;23,0
CJBAME-00076;2023-11-01;14,0
CJBAME-00076;2025-12-01;0,0
CJBAME-00078;2024-10-01;0,0
CJBAME-00078;2025-01-01;69,0
CJBAME-00080;2021-11-01;5,0
CJBAME-00081;2020-08-01;126,0
CJBAME-00081;2020-10-01;57,0
CJBAME-00081;2024-08-01;78,0
CJBAME-00082;2025-10-01;21,0
CJBAME-00084;2023-03-01;53,0
CJBAME-00085;2021-06-01;34,0
CJBAME-00086;2020-11-01;14,0
CJBAME-00087;2020-02-01;39,0
CJBAME-00088;2021-02-01;31,0
CJBAME-00088;2024-04-01;77,0
CJBAME-00089;2020-08-01;92,0
CJBAME-00090;2021-07-01;0,0
CJBAME-00090;2022-11-01;50,0
CJBAME-00092;2020-07-01;58,0
CJBAME-00092;2020-08-01;41,0
CJBAME-00093;2020-11-01;26,0
CJBAME-00093;2021-09-01;31,0
CJBAME-00094;2025-09-01;72,0
CJBAME-00095;2022-05-01;74,0
CJBAME-00096;2023-12-01;18,0
CJBAME-00096;2025-06-01;0,0
CJBAME-00097;2023-01-01;86,0
CJBAME-00097;2024-04-01;0,0
CJBAME-00098;2021-07-01;36,0
CJBAME-00099;2021-11-01;59,0
CJBAME-00099;2023-06-01;34,0
CJBAME-00100;2024-11-01;80,0
CJBAME-00101;2022-11-01;0,0
CJBAME-00102;2022-01-01;0,0
CJBAME-00103;2020-06-01;0,0
CJBAME-00105;2021-10-01;0,0
