Codigo;Bodega;Mes;Stock_Unid
'39;Almacen Punto de Ventas 1;2020-08-01;-16
'39;Almacen Punto de Ventas 1;2021-07-01;17
'39;Almacen Punto de Ventas 1;2024-11-01;-38
'39;Almacen Punto de Ventas 1;2025-11-01;-89
'4;Almacen Punto de Venta 2;2025-03-01;43
'4;Almacen Punto de Venta 2;2025-12-01;76
'40;Almacen Central;2021-06-01;-62
'40;Almacen Central;2025-01-01;-61
'40;Almacen Punto de Ventas 1;2024-03-01;-13
'41;Almacen Central;2021-01-01;42
'41;Almacen Central;2021-05-01;16
'41;Almacen Punto de Venta 2;2020-07-01;-21
'42;Almacen Central;2020-11-01;-59
'42;Almacen Central;2023-10-01;-86
'42;Almacen Punto de Venta 2;2020-12-01;46
'42;Almacen Punto de Venta 2;2021-09-01;-77
'43;Almacen Central;2021-01-01;-70
'43;Almacen Punto de Venta 2;2021-03-01;60
'43;Almacen Punto de Venta 2;2025-05-01;-24
'44;Almacen Central;2022-06-01;-42
'44;Almacen Central;2024-09-01;-100
'44;Almacen Punto de Venta 2;2024-02-01;50
'44;Almacen Punto de Ventas 1;2023-04-01;-79
'45;Almacen Central;2023-09-01;-57
'45;Almacen Punto de Ventas 1;2021-09-01;90
'45;Almacen Punto de Ventas 1;2022-09-01;-24
'45;Almacen Punto de Ventas 1;2023-05-01;-93
'45;Almacen Punto de Ventas 1;2025-06-01;4
'46;Almacen Central;2023-04-01;25
'46;Almacen Central;2023-09-01;81
'46;Almacen Central;2024-08-01;-96
'46;Almacen Punto de Venta 2;2021-05-01;-30
'46;Almacen Punto de Venta 2;2024-07-01;-50
'46;Almacen Punto de Venta 2;2024-10-01;-98
'46;Almacen Punto de Ventas 1;2020-01-01;-22
'47;Almacen Central;2020-12-01;-58
'47;Almacen Central;2021-04-01;-20
'47;Almacen Punto de Venta 2;2020-06-01;-83
'47;Almacen Punto de Venta 2;2025-07-01;56
'48;Almacen Central;2020-06-01;-35
'48;Almacen Central;2022-02-01;47
'49;Almacen Central;2023-06-01;-41
'49;Almacen Punto de Venta 2;2020-07-01;-2
'49;Almacen Punto de Venta 2;2020-10-01;-32
'49;Almacen Punto de Ventas 1;2025-01-01;30
'5;Almacen Punto de Venta 2;2023-04-01;-26
'5;Almacen Punto de Ventas 1;2022-06-01;-9
'5;Almacen Punto de Ventas 1;2024-06-01;-99
'50;Almacen Central;2020-04-01;-44
'50;Almacen Central;2021-10-01;-15
'50;Almacen Central;2025-10-01;-32
'50;Almacen Punto de Venta 2;2023-08-01;-16
'50;Almacen Punto de Venta 2;2025-12-01;-48
'50;Almacen Punto de Ventas 1;2025-07-01;-66
'51;Almacen Punto de Venta 2;2020-08-01;-23
'51;Almacen Punto de Venta 2;2022-10-01;-56
'51;Almacen Punto de Ventas 1;2023-12-01;-4
'51;Almacen Punto de Ventas 1;2024-10-01;71
'52;Almacen Punto de Ventas 1;2022-12-01;-89
'52;Almacen Punto de Ventas 1;2023-04-01;-88
'52;Almacen Punto de Ventas 1;2025-06-01;-84
'52;Almacen Punto de Ventas 1;2025-08-01;-39
'53;Almacen Central;2024-06-01;2
'55;Almacen Central;2022-01-01;22
'55;Almacen Central;2022-07-01;-22
'55;Almacen Punto de Venta 2;2021-06-01;-94
'55;Almacen Punto de Venta 2;2024-11-01;83
'56;Almacen Central;2024-02-01;-62
'56;Almacen Punto de Ventas 1;2022-02-01;-82
'57;Almacen Central;2025-08-01;-97
'58;Almacen Central;2021-04-01;-41
'58;Almacen Punto de Venta 2;2025-07-01;70
'58;Almacen Punto de Venta 2;2025-08-01;-56
'58;Almacen Punto de Ventas 1;2025-06-01;-53
'59;Almacen Central;2020-08-01;-82
'59;Almacen Central;2022-02-01;-29
'59;Almacen Central;2022-04-01;-77
'59;Almacen Punto de Venta 2;2020-09-01;74
'59;Almacen Punto de Venta 2;2021-09-01;-65
'6;Almacen Central;2020-02-01;46
'6;Almacen Central;2024-05-01;85
'6;Almacen Punto de Ventas 1;2024-12-01;55
'60;Almacen Central;2024-09-01;-57
'61;Almacen Punto de Ventas 1;2020-06-01;91
'62;Almacen Punto de Venta 2;2021-06-01;-62
'62;Almacen Punto de Venta 2;2022-07-01;32
'62;Almacen Punto de Venta 2;2023-08-01;-32
'62;Almacen Punto de Ventas 1;2022-06-01;-41
'62;Almacen Punto de Ventas 1;2022-12-01;-36
'62;Almacen Punto de Ventas 1;2023-10-01;-78
'63;Almacen Central;2024-09-01;-82
'64;Almacen Punto de Venta 2;2024-08-01;-99
'64;Almacen Punto de Ventas 1;2024-03-01;-13
'65;Almacen Central;2021-08-01;-66
'65;Almacen Punto de Venta 2;2020-11-01;-90
'65;Almacen Punto de Ventas 1;2020-05-01;-13
'65;Almacen Punto de Ventas 1;2024-02-01;-49
'66;Almacen Punto de Venta 2;2020-05-01;-87
'66;Almacen Punto de Ventas 1;2021-12-01;-20
'66;Almacen Punto de Ventas 1;2025-11-01;-56
'67;Almacen Punto de Venta 2;2020-05-01;-58
'67;Almacen Punto de Ventas 1;2024-02-01;-58
'68;Almacen Central;2023-09-01;95
'69;Almacen Punto de Venta 2;2020-07-01;-50
'69;Almacen Punto de Venta 2;2022-09-01;11
'7;Almacen Central;2020-04-01;-22
'7;Almacen Central;2023-11-01;57
'7;Almacen Central;2025-06-01;-33
'7;Almacen Central;2025-09-01;43
'7;Almacen Punto de Venta 2;2020-09-01;30
'7;Almacen Punto de Venta 2;2025-06-01;-36
'7;Almacen Punto de Ventas 1;2025-01-01;-14
'70;Almacen Punto de Venta 2;2023-12-01;-44
'70;Almacen Punto de Ventas 1;2025-03-01;-95
'70;Almacen Punto de Ventas 1;2025-04-01;-66
'71;Almacen Central;2024-06-01;77
'71;Almacen Central;2025-09-01;8
'71;Almacen Central;2025-10-01;49
'71;Almacen Punto de Venta 2;2021-04-01;100
'71;Almacen Punto de Venta 2;2025-12-01;-53
'72;Almacen Central;2024-11-01;53
'73;Almacen Central;2023-06-01;-84
'73;Almacen Punto de Venta 2;2024-03-01;-18
'73;Almacen Punto de Ventas 1;2023-04-01;-10
'74;Almacen Punto de Venta 2;2020-09-01;-57
'74;Almacen Punto de Venta 2;2024-11-01;-2
'74;Almacen Punto de Ventas 1;2020-01-01;-6
'75;Almacen Central;2020-02-01;-82
'75;Almacen Punto de Ventas 1;2020-07-01;-71
'76;Almacen Central;2023-10-01;-38
'76;Almacen Punto de Venta 2;2024-07-01;51
'76;Almacen Punto de Venta 2;2024-09-01;73
'76;Almacen Punto de Venta 2;2025-04-01;-84
'76;Almacen Punto de Ventas 1;2025-07-01;-43
'77;Almacen Central;2023-08-01;-41
'77;Almacen Punto de Venta 2;2022-03-01;-94
'77;Almacen Punto de Venta 2;2023-08-01;-10
'77;Almacen Punto de Ventas 1;2022-07-01;85
'77;Almacen Punto de Ventas 1;2023-06-01;-100
'77;Almacen Punto de Ventas 1;2024-04-01;-74
'77;Almacen Punto de Ventas 1;2025-03-01;-79
'78;Almacen Punto de Venta 2;2021-01-01;-36
'78;Almacen Punto de Venta 2;2023-06-01;42
'78;Almacen Punto de Venta 2;2024-09-01;-6
'78;Almacen Punto de Ventas 1;2022-05-01;19
'78;Almacen Punto de Ventas 1;2024-08-01;-74
'79;Almacen Punto de Venta 2;2020-10-01;-53
'79;Almacen Punto de Venta 2;2024-04-01;-67
'8;Almacen Central;2023-01-01;-68
'8;Almacen Punto de Venta 2;2021-06-01;17
'8;Almacen Punto de Venta 2;2024-01-01;27
'80;Almacen Punto de Venta 2;2023-08-01;-44
'80;Almacen Punto de Venta 2;2023-12-01;-97
'80;Almacen Punto de Venta 2;2024-02-01;58
'80;Almacen Punto de Venta 2;2024-05-01;-99
'80;Almacen Punto de Ventas 1;2021-07-01;-84
'80;Almacen Punto de Ventas 1;2024-09-01;-43
'81;Almacen Central;2020-12-01;-20
'81;Almacen Punto de Venta 2;2025-12-01;-81
'81;Almacen Punto de Ventas 1;2022-03-01;-99
'82;Almacen Punto de Venta 2;2021-08-01;35
'82;Almacen Punto de Venta 2;2022-07-01;41
'82;Almacen Punto de Venta 2;2022-12-01;-27
'84;Almacen Central;2020-04-01;-75
'84;Almacen Central;2020-06-01;-51
'84;Almacen Central;2020-09-01;-65
'84;Almacen Central;2021-01-01;100
'84;Almacen Central;2024-03-01;-57
'84;Almacen Punto de Venta 2;2020-09-01;-93
'84;Almacen Punto de Venta 2;2021-01-01;-89
'84;Almacen Punto de Venta 2;2021-12-01;-27
'84;Almacen Punto de Ventas 1;2022-04-01;-57
'84;Almacen Punto de Ventas 1;2022-08-01;17
'84;Almacen Punto de Ventas 1;2023-04-01;-32
'85;Almacen Central;2020-10-01;23
'85;Almacen Central;2022-07-01;-74
'85;Almacen Central;2024-09-01;-94
'85;Almacen Punto de Venta 2;2022-04-01;5
'85;Almacen Punto de Venta 2;2024-08-01;-19
'85;Almacen Punto de Ventas 1;2020-03-01;-76
'85;Almacen Punto de Ventas 1;2021-02-01;-67
'86;Almacen Central;2023-03-01;-17
'86;Almacen Central;2024-03-01;-36
'86;Almacen Punto de Venta 2;2020-10-01;-88
'86;Almacen Punto de Venta 2;2025-01-01;-29
'87;Almacen Central;2021-01-01;-7
'87;Almacen Central;2024-03-01;-42
'87;Almacen Central;2025-06-01;-68
'87;Almacen Punto de Venta 2;2022-03-01;-83
'87;Almacen Punto de Ventas 1;2023-09-01;-87
'88;Almacen Central;2022-02-01;15
'88;Almacen Punto de Ventas 1;2022-03-01;32
'88;Almacen Punto de Ventas 1;2022-09-01;5
'89;Almacen Central;2024-12-01;-45
'89;Almacen Central;2025-01-01;-50
'89;Almacen Central;2025-08-01;-84
'89;Almacen Punto de Venta 2;2020-11-01;98
'89;Almacen Punto de Ventas 1;2022-07-01;-16
'9;Almacen Central;2024-04-01;-4
'9;Almacen Punto de Ventas 1;2022-12-01;-17
'9;Almacen Punto de Ventas 1;2023-12-01;64
'90;Almacen Central;2023-12-01;-92
'90;Almacen Punto de Venta 2;2021-05-01;-12
'90;Almacen Punto de Ventas 1;2024-05-01;-90
'90;Almacen Punto de Ventas 1;2025-03-01;-16
'91;Almacen Central;2020-09-01;-39
'91;Almacen Central;2021-03-01;45
'91;Almacen Central;2025-11-01;-39
'91;Almacen Punto de Venta 2;2023-06-01;-20
'91;Almacen Punto de Venta 2;2024-01-01;50
'91;Almacen Punto de Ventas 1;2021-03-01;18
'91;Almacen Punto de Ventas 1;2023-06-01;16
'92;Almacen Central;2021-06-01;-32
'92;Almacen Punto de Venta 2;2023-08-01;-8
'92;Almacen Punto de Venta 2;2023-12-01;-12
'92;Almacen Punto de Venta 2;2025-04-01;-97
'92;Almacen Punto de Ventas 1;2020-07-01;16
'93;Almacen Central;2020-02-01;91
'93;Almacen Central;2023-11-01;28
'93;Almacen Central;2025-04-01;-16
'93;Almacen Punto de Ventas 1;2020-07-01;-93
'93;Almacen Punto de Ventas 1;2022-09-01;-33
'93;Almacen Punto de Ventas 1;2024-11-01;-60
'95;Almacen Central;2025-08-01;-41
'95;Almacen Punto de Venta 2;2022-06-01;53
'95;Almacen Punto de Venta 2;2023-09-01;9
'95;Almacen Punto de Ventas 1;2021-11-01;-77
'97;Almacen Central;2021-02-01;33
'97;Almacen Central;2023-08-01;-75
'97;Almacen Punto de Venta 2;2020-01-01;-14
'97;Almacen Punto de Venta 2;2024-10-01;15
'97;Almacen Punto de Ventas 1;2022-04-01;-76
'97;Almacen Punto de Ventas 1;2024-12-01;-63
'98;Almacen Central;2021-12-01;-22
'98;Almacen Punto de Venta 2;2021-10-01;76
'98;Almacen Punto de Ventas 1;2023-02-01;-71
'98;Almacen Punto de Ventas 1;2023-08-01;-51
(Automático);Almacen Central;2021-08-01;-23
(Automático);Almacen Central;2024-03-01;5
(Automático);Almacen Central;2025-01-01;5
A1;Almacen Central;2024-06-01;9
A1;Almacen Punto de Venta 2;2022-04-01;-14
A1;Almacen Punto de Ventas 1;2021-04-01;30
A1;Almacen Punto de Ventas 1;2022-08-01;-41
ABZ-00001;Almacen Punto de Venta 2;2024-08-01;-86
ABZ-00002;Almacen Central;2023-09-01;-44
ABZ-00002;Almacen Punto de Venta 2;2021-02-01;-96
ABZ-00002;Almacen Punto de Ventas 1;2025-08-01;-13
ABZ-00003;Almacen Punto de Venta 2;2025-06-01;-36
ABZ-00003;Almacen Punto de Ventas 1;2021-08-01;-26
ABZ-00004;Almacen Central;2024-06-01;16
ABZ-00004;Almacen Punto de Venta 2;2020-07-01;71
ABZ-00004;Almacen Punto de Ventas 1;2022-03-01;-88
ABZ-00004;Almacen Punto de Ventas 1;2023-02-01;14
ABZ-00004;Almacen Punto de Ventas 1;2023-07-01;-76
ABZ-00006;Almacen Central;2025-10-01;-81
ABZ-00006;Almacen Punto de Venta 2;2020-04-01;-74
ABZ-00007;Almacen Central;2021-04-01;-65
ABZ-00007;Almacen Central;2021-05-01;-89
ABZ-00007;Almacen Central;2023-03-01;6
ABZ-00007;Almacen Punto de Venta 2;2023-05-01;-33
ABZ-00007;Almacen Punto de Venta 2;2024-08-01;-35
ABZ-00007;Almacen Punto de Ventas 1;2021-07-01;-51
ABZ-00008;Almacen Punto de Venta 2;2021-06-01;-69
ABZ-00008;Almacen Punto de Ventas 1;2025-07-01;-72
ABZ-00009;Almacen Central;2025-07-01;-20
ABZ-00009;Almacen Punto de Venta 2;2024-02-01;-66
ABZ-00009;Almacen Punto de Ventas 1;2022-01-01;-21
ABZ-00010;Almacen Central;2022-07-01;-41
ABZ-00010;Almacen Central;2024-04-01;-67
ABZ-00010;Almacen Punto de Ventas 1;2020-07-01;-98
ABZ-00011;Almacen Punto de Venta 2;2024-01-01;12
ABZ-00011;Almacen Punto de Ventas 1;2020-10-01;-23
ABZ-00011;Almacen Punto de Ventas 1;2021-03-01;-73
ABZ-00011;Almacen Punto de Ventas 1;2021-05-01;24
ABZ-00011;Almacen Punto de Ventas 1;2024-11-01;-44
ABZ-00012;Almacen Central;2021-02-01;-92
ABZ-00012;Almacen Central;2022-04-01;-4
ABZ-00013;Almacen Central;2025-06-01;-77
ABZ-00013;Almacen Punto de Venta 2;2020-07-01;-25
ABZ-00013;Almacen Punto de Venta 2;2025-07-01;-75
ABZ-00013;Almacen Punto de Ventas 1;2020-09-01;-30
ABZ-00014;Almacen Central;2022-07-01;33
ABZ-00014;Almacen Punto de Venta 2;2021-08-01;-9
ABZ-00014;Almacen Punto de Venta 2;2025-03-01;-54
ABZ-00014;Almacen Punto de Ventas 1;2023-12-01;-55
ABZ-00014;Almacen Punto de Ventas 1;2024-06-01;-19
ABZ-00015;Almacen Punto de Ventas 1;2024-06-01;-36
ABZ-00015;Almacen Punto de Ventas 1;2025-01-01;-28
ABZ-00016;Almacen Punto de Ventas 1;2021-11-01;-37
ABZ-00017;Almacen Central;2023-11-01;20
ABZ-00017;Almacen Central;2024-06-01;-49
ABZ-00017;Almacen Punto de Venta 2;2020-05-01;13
ABZ-00018;Almacen Central;2024-12-01;32
ABZ-00018;Almacen Punto de Venta 2;2022-04-01;47
ABZ-00018;Almacen Punto de Ventas 1;2025-02-01;-37
ABZ-00018;Almacen Punto de Ventas 1;2025-06-01;-86
ABZ-00019;Almacen Central;2022-10-01;-85
ABZ-00019;Almacen Central;2022-12-01;-27
ABZ-00019;Almacen Punto de Ventas 1;2021-12-01;-23
ABZ-00019;Almacen Punto de Ventas 1;2023-05-01;-2
ABZ-00020;Almacen Punto de Ventas 1;2022-10-01;65
ABZ-00021;Almacen Punto de Venta 2;2024-06-01;62
ABZ-00021;Almacen Punto de Ventas 1;2022-08-01;-35
ABZ-00021;Almacen Punto de Ventas 1;2024-02-01;-43
ABZ-00021;Almacen Punto de Ventas 1;2024-05-01;-18
ABZ-00021;Almacen Punto de Ventas 1;2025-07-01;-90
ABZ-00022;Almacen Central;2024-01-01;-98
ABZ-00022;Almacen Punto de Venta 2;2021-06-01;28
ABZ-00022;Almacen Punto de Ventas 1;2023-01-01;-57
ABZ-00023;Almacen Central;2021-01-01;-99
ABZ-00023;Almacen Central;2025-10-01;-96
ABZ-00023;Almacen Punto de Venta 2;2024-12-01;92
ABZ-00024;Almacen Central;2023-01-01;-89
ABZ-00024;Almacen Punto de Venta 2;2020-03-01;86
ABZ-00025;Almacen Punto de Ventas 1;2020-05-01;89
ABZ-00025;Almacen Punto de Ventas 1;2025-04-01;93
ABZ-00026;Almacen Punto de Venta 2;2020-08-01;-91
ABZ-00027;Almacen Central;2022-10-01;-58
ABZ-00027;Almacen Punto de Ventas 1;2020-04-01;-100
ABZ-00027;Almacen Punto de Ventas 1;2021-06-01;-30
ABZ-00028;Almacen Punto de Venta 2;2020-09-01;-26
ABZ-00029;Almacen Central;2020-12-01;-89
ABZ-00029;Almacen Central;2025-02-01;-15
ABZ-00029;Almacen Punto de Venta 2;2023-05-01;14
ABZ-00029;Almacen Punto de Venta 2;2025-09-01;-57
ABZ-00029;Almacen Punto de Ventas 1;2020-07-01;54
ABZ-00029;Almacen Punto de Ventas 1;2025-04-01;-17
ABZ-00029;Almacen Punto de Ventas 1;2025-10-01;-67
ABZ-00030;Almacen Central;2024-08-01;43
ABZ-00030;Almacen Punto de Venta 2;2020-02-01;-89
ABZ-00030;Almacen Punto de Venta 2;2022-06-01;68
ABZ-00030;Almacen Punto de Venta 2;2023-06-01;21
ABZ-00031;Almacen Central;2023-04-01;-11
ABZ-00031;Almacen Central;2025-01-01;-68
ABZ-00031;Almacen Punto de Ventas 1;2024-10-01;-42
ABZ-00031;Almacen Punto de Ventas 1;2025-02-01;-44
ABZ-00032;Almacen Central;2021-10-01;30
ABZ-00032;Almacen Central;2022-11-01;-26
ABZ-00032;Almacen Punto de Venta 2;2024-06-01;-69
AC-00001;Almacen Central;2021-08-01;-62
AC-00001;Almacen Central;2022-04-01;-100
AC-00001;Almacen Punto de Venta 2;2024-10-01;67
AC-00001;Almacen Punto de Ventas 1;2020-04-01;98
AC-00001;Almacen Punto de Ventas 1;2020-05-01;-94
AC-00001;Almacen Punto de Ventas 1;2021-04-01;-27
AC-00001;Almacen Punto de Ventas 1;2021-05-01;-29
ARAN-00001;Almacen Punto de Venta 2;2025-04-01;-26
ARAN-00001;Almacen Punto de Ventas 1;2021-03-01;-85
ARAN-00002;Almacen Central;2025-06-01;27
ARAN-00002;Almacen Central;2025-11-01;-93
ARAN-00002;Almacen Punto de Venta 2;2020-07-01;88
ARAN-00002;Almacen Punto de Venta 2;2024-05-01;-19
ARAN-00002;Almacen Punto de Venta 2;2025-09-01;-26
ARAN-00003;Almacen Central;2021-05-01;-74
ARAN-00003;Almacen Central;2023-08-01;-8
ARAN-00003;Almacen Punto de Venta 2;2024-04-01;-14
ARAN-00003;Almacen Punto de Ventas 1;2023-03-01;-74
ARAN-00003;Almacen Punto de Ventas 1;2025-07-01;-70
ARAN-00004;Almacen Central;2020-01-01;-87
ARAN-00004;Almacen Central;2023-04-01;-5
ARAN-00005;Almacen Punto de Venta 2;2024-02-01;-46
BAD-00001;Almacen Central;2020-08-01;-73
BAD-00001;Almacen Central;2022-11-01;-76
BAD-00002;Almacen Punto de Venta 2;2020-12-01;40
BAD-00002;Almacen Punto de Ventas 1;2024-03-01;-87
BANE-00001;Almacen Central;2020-06-01;-15
BANE-00001;Almacen Central;2022-06-01;-50
BANE-00001;Almacen Central;2024-03-01;-44
BANE-00001;Almacen Central;2024-05-01;-11
BANE-00001;Almacen Punto de Ventas 1;2021-09-01;-82
BANE-00002;Almacen Central;2022-07-01;-6
BANE-00002;Almacen Punto de Ventas 1;2021-12-01;-87
BANE-00002;Almacen Punto de Ventas 1;2024-01-01;57
BANE-00002;Almacen Punto de Ventas 1;2024-11-01;-58
BANE-00003;Almacen Punto de Venta 2;2025-08-01;-80
BANE-00003;Almacen Punto de Ventas 1;2022-05-01;-34
BANE-00004;Almacen Central;2020-08-01;-21
BANE-00004;Almacen Central;2023-09-01;-73
BANE-00004;Almacen Central;2023-11-01;-73
BANE-00004;Almacen Punto de Venta 2;2021-12-01;91
BANE-00004;Almacen Punto de Venta 2;2025-02-01;-99
BANE-00004;Almacen Punto de Ventas 1;2022-05-01;14
BANE-00005;Almacen Punto de Venta 2;2025-01-01;-5
BANE-00005;Almacen Punto de Ventas 1;2020-10-01;-37
BANE-00006;Almacen Punto de Venta 2;2025-05-01;-13
BANE-00006;Almacen Punto de Ventas 1;2025-03-01;-23
BANE-00006;Almacen Punto de Ventas 1;2025-05-01;-83
BANE-00006;Almacen Punto de Ventas 1;2025-07-01;-33
BANE-00007;Almacen Punto de Venta 2;2024-03-01;-23
BANE-00007;Almacen Punto de Ventas 1;2022-01-01;-73
BANE-00007;Almacen Punto de Ventas 1;2023-06-01;-10
BANE-00008;Almacen Central;2022-02-01;-35
BANE-00008;Almacen Central;2022-09-01;-23
BANE-00008;Almacen Punto de Venta 2;2022-01-01;-78
BANE-00008;Almacen Punto de Venta 2;2025-10-01;82
BANE-00008;Almacen Punto de Ventas 1;2020-01-01;77
BANE-00008;Almacen Punto de Ventas 1;2023-03-01;7
BANE-00008;Almacen Punto de Ventas 1;2025-07-01;-30
BANE-00009;Almacen Central;2024-10-01;-78
BANE-00010;Almacen Central;2022-09-01;53
BANE-00010;Almacen Punto de Venta 2;2023-01-01;-41
BANE-00010;Almacen Punto de Ventas 1;2020-01-01;43
BANE-00010;Almacen Punto de Ventas 1;2020-03-01;-85
BANE-00010;Almacen Punto de Ventas 1;2023-03-01;-85
BANE-00010;Almacen Punto de Ventas 1;2024-01-01;-77
BANE-00011;Almacen Punto de Venta 2;2024-10-01;-15
BANE-00011;Almacen Punto de Ventas 1;2021-08-01;-84
BANE-00012;Almacen Central;2024-12-01;-83
BANE-00012;Almacen Punto de Venta 2;2022-07-01;30
BANE-00012;Almacen Punto de Ventas 1;2022-05-01;-30
BANE-00013;Almacen Central;2024-03-01;-54
BANE-00013;Almacen Punto de Venta 2;2023-04-01;-17
BANE-00014;Almacen Central;2020-08-01;80
BANE-00014;Almacen Central;2022-12-01;-38
BANE-00014;Almacen Punto de Ventas 1;2021-09-01;-50
BANE-00014;Almacen Punto de Ventas 1;2024-02-01;43
BANE-00015;Almacen Punto de Venta 2;2022-01-01;-52
BANE-00015;Almacen Punto de Venta 2;2023-11-01;-34
BANE-00015;Almacen Punto de Venta 2;2025-11-01;-15
BANE-00015;Almacen Punto de Ventas 1;2021-09-01;47
BANE-00016;Almacen Central;2022-04-01;-79
BANE-00016;Almacen Punto de Ventas 1;2021-09-01;-27
BANE-00017;Almacen Central;2024-07-01;-77
BANE-00017;Almacen Punto de Ventas 1;2023-08-01;35
BANE-00018;Almacen Punto de Ventas 1;2021-05-01;-94
BANE-00018;Almacen Punto de Ventas 1;2024-07-01;-32
BANE-00018;Almacen Punto de Ventas 1;2025-03-01;-66
BANE-00019;Almacen Central;2021-02-01;-70
BANE-00019;Almacen Central;2021-07-01;69
BANE-00019;Almacen Central;2024-06-01;-57
BANE-00019;Almacen Punto de Venta 2;2025-01-01;-25
BANE-00020;Almacen Central;2021-01-01;-17
BANE-00020;Almacen Punto de Venta 2;2021-01-01;-31
BANE-00020;Almacen Punto de Venta 2;2021-04-01;-87
BANE-00020;Almacen Punto de Venta 2;2021-08-01;-61
BANE-00020;Almacen Punto de Ventas 1;2021-09-01;64
BANE-00021;Almacen Punto de Venta 2;2024-09-01;-15
BANE-00022;Almacen Punto de Venta 2;2023-06-01;72
BANE-00022;Almacen Punto de Venta 2;2023-08-01;-24
