Codigo;Descripcion;Fecha;Documento;Numero;Bodega;Entrada_unid;Salida_unid;Saldo_unid;Valor_Unitario;Costo_Unitario;precio_base;descuento_pct;valor_total;mes;trimestre
CPE-00486;"CAJA DE PASE 300X300X200MM 3"" (F. G.1.20)";2021-01-03;Entrada por Producci;DOC-39655;Almacen Punto de Venta 2;0;36;-36;3234,7835818526205;1940,8701491115721;3234,7835818526205;7,466302150247875;116452,20894669434;1;1
TUCA-00003;TUERCA HEXAGONAL 3/8;2021-01-04;Entrada por Compra;DOC-61743;Almacen Punto de Venta 2;0;9;-9;3201,5300937994684;1920,918056279681;3201,5300937994684;7,037322451753002;28813,770844195216;1;1
CPE-00062;CAJA DE PASE 200X200X75MM CIEGA (F.G. 1.20).;2021-01-04;Guia de remision - R;DOC-60703;Almacen Central;0;25;-25;3841,132736810261;2304,6796420861565;3841,132736810261;7,060237311834979;96028,31842025653;1;1
PG-00002;PLANCHA GALVANIZADA F°G° 1.90 (1200x2400mm);2021-01-05;Salida por Consumo;DOC-23045;Almacen Punto de Venta 2;8;0;8;3742,2755883943178;2245,3653530365905;3742,2755883943178;6,145282802282526;29938,204707154542;1;1
PB-00001;PLACA BASE 400X300MM (F°G° 1.20);2021-01-05;Salida por Consumo;DOC-75470;Almacen Central;0;24;-24;1872,888652008058;1123,7331912048348;1872,888652008058;5,6857746356184;44949,32764819339;1;1
CPE-00669;CAJA DE PASE 150X150X70MM  (F.G. 1.20);2021-01-06;Entrada por Producci;DOC-38348;Almacen Central;24;0;24;4892,696533009029;2935,6179198054174;4892,696533009029;7,930663794208831;117424,7167922167;1;1
BANR-00085;BANDEJA RANURADA 700X100MM C/TAPA (F.G. 1.50);2021-01-06;Guia de remision - R;DOC-19875;Almacen Punto de Venta 2;0;33;-33;1875,6853470539586;1125,4112082323752;1875,6853470539586;3,900441129457116;61897,61645278063;1;1
CPE-00452;CAJA DE PASE 350X350X100MM HCO ESP (F. G. 1.50);2021-01-06;Guia de remision - R;DOC-87884;Almacen Central;0;9;-9;2856,788729074803;1714,073237444882;2856,788729074803;7,659447282588808;25711,09856167323;1;1
CPE-00599;CAJA DE PASE 100X100X75MM CIEGA (F. G. 0.75);2021-01-06;Guia de remision - R;DOC-17463;Almacen Punto de Venta 2;20;0;20;3876,181687501239;2325,7090125007435;3876,181687501239;1,0711375953975222;77523,63375002478;1;1
TPCV-00004;TAPA PARA CURVA HORIZONTAL DE 90° 250MM (F.G. 1.50);2021-01-07;Guia de remision - R;DOC-82173;Almacen Punto de Ventas 1;34;0;34;2003,9671711115386;1202,3803026669232;2003,9671711115386;4,610066163427878;68134,88381779232;1;1
'75;CAJA DE PASE 150X150X100MM (F.G.0.60);2021-01-07;Salida por Consumo;DOC-52202;Almacen Punto de Ventas 1;0;39;-39;2160,523556349961;1296,3141338099765;2160,523556349961;6,376357253461139;84260,41869764848;1;1
CPE-00126;CAJA DE PASE 700X700X300MM  ESP (F.G. 1.50);2021-01-08;Venta Tienda Sin Doc;DOC-29523;Almacen Punto de Ventas 1;47;0;47;4070,92626589806;2442,555759538836;4070,92626589806;8,063953129634227;191333,53449720884;1;1
CPE-01020;CAJA DE PASE 700X470X200MM CIEGA (F.G 0.75);2021-01-08;Venta Tienda Sin Doc;DOC-13899;Almacen Punto de Venta 2;0;48;-48;1991,7237106839639;1195,0342264103783;1991,7237106839639;6,184508933228884;95602,73811283027;1;1
CPE-00328;CAJA DE PASE 900X600X150MM CIEGA (F.G. 1.20).;2021-01-09;Entrada por Producci;DOC-26617;Almacen Punto de Ventas 1;0;3;-3;778,376663911905;467,02599834714295;778,376663911905;7,698124137297143;2335,129991735715;1;1
CJBAME-00062;CAJA BANCO MEDIDOR 2000X200X200MM CIEGA (F.G. 1.50);2021-01-09;Entrada por Compra;DOC-49240;Almacen Punto de Ventas 1;0;43;-43;1772,196949661063;1063,3181697966377;1772,196949661063;7,78609704294749;76204,46883542571;1;1
'92;PLANCHA GALVANIZADA F°G° 0.80 (1200x2400mm);2021-01-09;Salida por Consumo;DOC-91102;Almacen Punto de Venta 2;0;23;-23;117,26685466933671;70,36011280160203;117,26685466933671;2,287992996322102;2697,137657394744;1;1
MCN-00003;MARCADOR P/CABLE EC-1 NUMERO 3 (ROLLOX1000 PZAS) CHS;2021-01-09;Entrada por Producci;DOC-42079;Almacen Punto de Venta 2;0;3;-3;2805,8988164236102;1683,539289854166;2805,8988164236102;5,0022984427556505;8417,69644927083;1;1
CPE-00078;CAJA DE PASE 250X250X100MM CIEGA (F. G. 1.20).;2021-01-10;Guia de remision - R;DOC-40213;Almacen Punto de Ventas 1;0;3;-3;4780,465099890725;2868,279059934435;4780,465099890725;9,26745751112771;14341,395299672175;1;1
CEO-031;CAJA OCTOG 100X50MM BC 3/4 (F.G 0.90);2021-01-10;Salida por Consumo;DOC-30179;Almacen Punto de Venta 2;0;28;-28;906,0403212329529;543,6241927397717;906,0403212329529;3,90504091455783;25369,12899452268;1;1
CERE-012;CAJA RECT 100X60X50MM BR 1/2 (F.G. 1.50).;2021-01-10;Entrada por Producci;DOC-31524;Almacen Central;0;36;-36;882,9853794908696;529,7912276945217;882,9853794908696;6,302262339165965;31787,473661671305;1;1
CPE-00126;CAJA DE PASE 700X700X300MM  ESP (F.G. 1.50);2021-01-10;Guia de remision - R;DOC-61825;Almacen Punto de Ventas 1;0;28;-28;2555,125919766809;1533,0755518600854;2555,125919766809;5,827623844321407;71543,52575347066;1;1
CPE-00506;CAJA DE PASE 700X1100X350MM (F. G. 1.50);2021-01-10;Entrada por Producci;DOC-77769;Almacen Central;0;28;-28;365,9026799049402;219,54160794296413;365,9026799049402;1,9770011028483314;10245,275037338326;1;1
UNI-00017;UNION PARA BANDEJA RANURADA 300X150MM C/P  (F.G. 1.20);2021-01-11;Entrada por Producci;DOC-99782;Almacen Punto de Venta 2;0;42;-42;1081,3584538089674;648,8150722853804;1081,3584538089674;6,9549518022925465;45417,05505997663;1;1
COC-00021;"CONECTOR  RECTO HUB  1-1/4""";2021-01-11;Guia de remision - R;DOC-89232;Almacen Central;44;0;44;737,3715921953599;442,4229553172159;737,3715921953599;6,196332104505718;32444,350056595835;1;1
TUCA-00012;TUERCA BUSHING 25MM/  1;2021-01-11;Entrada por Compra;DOC-34947;Almacen Punto de Venta 2;8;0;8;2464,709479562266;1478,8256877373597;2464,709479562266;2,8566952408136883;19717,67583649813;1;1
TBC-00005;"TUBERIA CONDUIT EMT 20MM/ 3/4"" X 3MTS-UL PESADO";2021-01-12;Salida por Consumo;DOC-28184;Almacen Punto de Ventas 1;0;42;-42;1839,822950826547;1103,893770495928;1839,822950826547;4,677729759136174;77272,56393471497;1;1
TOR-00001;TORNILLO AUTOPERFORANTE DE 8 x 1 CABEZA EXAGONAL;2021-01-12;Entrada por Producci;DOC-39337;Almacen Punto de Venta 2;0;5;-5;1889,5189480942706;1133,7113688565623;1889,5189480942706;3,6472072665743527;9447,594740471353;1;1
CR-00089;CURVA RANURADA 200X100MM (F.G. 1.20);2021-01-12;Entrada por Compra;DOC-93816;Almacen Punto de Venta 2;0;30;-30;1704,2721623390946;1022,5632974034568;1704,2721623390946;3,983375348797505;51128,16487017284;1;1
CR-00137;CURVA VERT. EXTERNA 90° ESCAL 200X100MM C/TAPA (F.G. 1.20);2021-01-13;Guia de remision - R;DOC-18684;Almacen Punto de Venta 2;0;16;-16;972,8559610970216;583,7135766582129;972,8559610970216;2,96661360077347;15565,695377552345;1;1
CPE-00286;CAJA DE PASE 1900X400X300MM (F.G.1.20);2021-01-13;Guia de remision - R;DOC-91629;Almacen Punto de Ventas 1;0;18;-18;272,99462022957766;163,7967721377466;272,99462022957766;1,8618865340675717;4913,903164132398;1;1
TPTF-00008;TAPA TELEFONICA 250X250MM (F.G. 1.20);2021-01-14;Salida por Consumo;DOC-60587;Almacen Punto de Ventas 1;0;36;-36;3331,1684495490035;1998,701069729402;3331,1684495490035;4,7703677180262405;119922,06418376413;1;1
GEL-00001;THOR GEL DE RESISTENCIA PARA PUESTA TIERRA;2021-01-14;Entrada por Producci;DOC-47236;Almacen Punto de Ventas 1;0;18;-18;4260,918685297899;2556,5512111787393;4260,918685297899;6,1932240249699095;76696,53633536218;1;1
REDUC-00046;REDUCCION DE 700 A 300MM (F°G° 1.50);2021-01-14;Entrada por Producci;DOC-23126;Almacen Central;0;27;-27;208,73668402983006;125,24201041789803;208,73668402983006;8,253791922769517;5635,890468805412;1;1
CPE-01019;CAJA DE PASE 500X300X200MM (F.G 0.75);2021-01-15;Salida por Consumo;DOC-53905;Almacen Central;0;24;-24;4222,344889192708;2533,406933515625;4222,344889192708;6,952496828535786;101336,277340625;1;1
CP-00028;CAJA DE PASE 150X150X100MM (F. G. 1.50);2021-01-15;Entrada por Producci;DOC-58422;Almacen Punto de Venta 2;31;0;31;1659,7082090452943;995,8249254271766;1659,7082090452943;0,5321393704659161;51450,95448040412;1;1
CTF-E-00002;CAJA TELEF. 1100X700X150MM HCO ESP (F.G. 1.20);2021-01-15;Guia de remision - R;DOC-51274;Almacen Punto de Ventas 1;0;32;-32;1064,3587295349228;638,6152377209536;1064,3587295349228;5,208420239875709;34059,47934511753;1;1
BANR-00023;BANDEJA RANURADA 700X100MM (F.G. 1.50);2021-01-15;Entrada por Producci;DOC-68348;Almacen Central;0;14;-14;4567,795829286925;2740,677497572155;4567,795829286925;3,9863311016128766;63949,14161001695;1;1
CP-00055;CAJA DE PASE 350X350X100MM (F.G. 0.70);2021-01-16;Guia de remision - R;DOC-71219;Almacen Punto de Venta 2;30;0;30;3198,2135818567594;1918,9281491140555;3198,2135818567594;0,4028792111722901;95946,40745570278;1;1
CPE-00579;CAJA DE PASE 250X250X150MM CIEGA (F.G. 0.75).;2021-01-16;Salida por Consumo;DOC-91348;Almacen Punto de Venta 2;0;31;-31;1039,1715823545644;623,5029494127386;1039,1715823545644;9,682273599827148;32214,319052991497;1;1
CPE-00013;CAJA DE PASE 100X100X75MM  3/4 (F. G. 0.75).;2021-01-16;Salida por Consumo;DOC-18364;Almacen Punto de Ventas 1;0;5;-5;373,471541820428;224,0829250922568;373,471541820428;9,031265242998586;1867,35770910214;1;1
REDUC-00026;REDUCCION DE 1000 A 300MM (F.G. 1.50);2021-01-17;Venta Tienda Sin Doc;DOC-33124;Almacen Central;0;23;-23;1464,1271140239687;878,4762684143813;1464,1271140239687;5,340717224756274;33674,92362255128;1;1
REDUC-00033;REDUCCION RANURADA DE 850X150MM A 500X150MM C/T (F°G°1.20);2021-01-17;Entrada por Producci;DOC-80013;Almacen Punto de Venta 2;0;33;-33;3115,7869691317314;1869,4721814790387;3115,7869691317314;5,340869778419734;102820,96998134714;1;1
T-00001;TIERRA CHACRA;2021-01-17;Venta Tienda Sin Doc;DOC-27910;Almacen Punto de Ventas 1;0;8;-8;4292,782804063023;2575,6696824378137;4292,782804063023;8,986471800633728;34342,26243250418;1;1
TBC-00038;"TUBERIA CONDUIT RGS 40MM/ 1 1/2"" X 3MTS-UL";2021-01-17;Salida por Consumo;DOC-88581;Almacen Punto de Venta 2;0;7;-7;2905,676793941171;1743,4060763647026;2905,676793941171;0,8608400119021853;20339,737557588196;1;1
CPE-00369;CAJA DE PASE 350X350X200MM CIEGA (F. G. 1.20);2021-01-18;Entrada por Producci;DOC-54818;Almacen Central;0;43;-43;4081,12896678059;2448,677380068354;4081,12896678059;8,527013776361134;175488,54557156537;1;1
BANR-00001;BANDEJA RANURADA 100X75MM (F.G 1.20);2021-01-18;Venta Tienda Sin Doc;DOC-65620;Almacen Central;29;0;29;3751,8973470883193;2251,1384082529917;3751,8973470883193;8,001795522756224;108805,02306556125;1;1
CPE-00698;CAJA DE PASE 600X250X150MM C/H (F. G.1.20);2021-01-19;Entrada por Producci;DOC-24879;Almacen Punto de Ventas 1;0;48;-48;3115,0969045560914;1869,0581427336547;3115,0969045560914;6,429861972226117;149524,65141869237;1;1
CJBAME-00140;BANCO DE MEDIDORES 1740X150X200MM CIEGA(F°G°1.50);2021-01-19;Entrada por Compra;DOC-54427;Almacen Punto de Venta 2;0;44;-44;1997,2377253485158;1198,3426352091094;1997,2377253485158;6,042936202859622;87878,4599153347;1;1
TPH-00013;TAPA RECTANGULAR  (F°G° 1.20);2021-01-19;Salida por Consumo;DOC-44312;Almacen Punto de Ventas 1;0;14;-14;148,90185944480473;89,34111566688283;148,90185944480473;4,717388319076407;2084,626032227266;1;1
TPTF-00015;TAPA TELEFONICA 280X280MM (F.G. 0.75);2021-01-19;Guia de remision - R;DOC-31088;Almacen Central;0;39;-39;567,969334922182;340,78160095330924;567,969334922182;5,860321525274305;22150,8040619651;1;1
TBC-00013;TUBERIA CONDUIT FLEXIBLE PESADO LIQUID TIGTH EXT 25MM 1;2021-01-19;Entrada por Producci;DOC-57952;Almacen Punto de Venta 2;0;14;-14;3367,9329940173047;2020,7597964103827;3367,9329940173047;1,4852971219777011;47151,061916242266;1;1
REDUC-00017;REDUCCION SIMETRICA DE 700 A 400MM (F.G. 1.50);2021-01-20;Venta Tienda Sin Doc;DOC-30225;Almacen Punto de Ventas 1;0;16;-16;1921,4799967234253;1152,887998034055;1921,4799967234253;0,20393605418839944;30743,679947574805;1;1
CP-00046;CAJA DE PASE 300X300X100MM (F.G. 0.90);2021-01-20;Entrada por Producci;DOC-59653;Almacen Punto de Ventas 1;0;33;-33;3619,3328583696293;2171,5997150217777;3619,3328583696293;9,456494502501611;119437,98432619777;1;1
CPE-00068;CAJA DE PASE 200X200X150MM (F.G. 1.20).;2021-01-20;Entrada por Compra;DOC-92559;Almacen Punto de Ventas 1;13;0;13;2975,8883576305875;1785,5330145783525;2975,8883576305875;8,562833106103946;38686,54864919764;1;1
CPE-00576;CAJA DE PASE 300X300X250MM CIEGA (F. G. 1.20)	;2021-01-21;Entrada por Compra;DOC-83996;Almacen Punto de Venta 2;0;4;-4;3711,6331284227053;2226,979877053623;3711,6331284227053;2,208092561659669;14846,532513690821;1;1
UNC-00020;UNION UNIVERSAL C/ROSCA GALV. 1 1/2;2021-01-21;Salida por Consumo;DOC-76677;Almacen Central;0;17;-17;4275,679672460689;2565,4078034764134;4275,679672460689;6,757368828689586;72686,55443183171;1;1
GA-00063;GABINETE ADOSABLE 600X600X150MM (F.G. 1.50);2021-01-21;Guia de remision - R;DOC-25637;Almacen Punto de Venta 2;0;42;-42;3031,8568970754377;1819,1141382452627;3031,8568970754377;0,42304107606045305;127337,98967716839;1;1
CPE-00271;"CAJA DE PASE 300X300X100MM 2"" (F. G.1.20)";2021-01-21;Entrada por Producci;DOC-64714;Almacen Central;0;33;-33;320,0874483849383;192,05246903096295;320,0874483849383;0,4337110410662637;10562,885796702963;1;1
CEO 007;CAJA OCTOG 100X40MM  3/4 (F. G. 0.90).;2021-01-22;Salida por Consumo;DOC-14357;Almacen Punto de Ventas 1;6;0;6;3870,4496576370248;2322,2697945822147;3870,4496576370248;1,6137370372176663;23222,697945822147;1;1
CR-00133;CURVA VERT. EXTERNA RANU 100X50MM C/TAPA (F.G. 1.50);2021-01-22;Venta Tienda Sin Doc;DOC-77128;Almacen Punto de Ventas 1;0;12;-12;4779,090774399976;2867,4544646399854;4779,090774399976;5,1379065515498805;57349,08929279971;1;1
'38;CAJA TELEF. 650X350X130MM (F.G.1.20);2021-01-22;Entrada por Producci;DOC-21789;Almacen Punto de Ventas 1;49;0;49;531,785115132776;319,0710690796656;531,785115132776;3,659795681623047;26057,470641506025;1;1
CPE-00319;CAJA DE PASE 900X900X200MM CIEGA (F.G. 1.20);2021-01-23;Guia de remision - R;DOC-32382;Almacen Punto de Ventas 1;0;6;-6;259,1507751344498;155,49046508066988;259,1507751344498;5,704071386717409;1554,904650806699;1;1
CTV-00001;CAJA PARA TV 650X350X150MM CON PUERTA BISAGRADA  ADOSABLE /CIEGA (F.G. 1.50);2021-01-23;Entrada por Producci;DOC-33542;Almacen Punto de Venta 2;47;0;47;4320,10652327902;2592,0639139674117;4320,10652327902;8,419633051071864;203045,00659411392;1;1
CR-00068;CURVA HORIZONTAL 90° 1000X100MM (F.G. 1.50);2021-01-23;Salida por Consumo;DOC-65429;Almacen Punto de Ventas 1;0;4;-4;3362,756647620824;2017,6539885724942;3362,756647620824;3,564007329005525;13451,026590483296;1;1
CPE-00598;CAJA DE PASE 700X500X200MM HCO ESP (F. G. 1.50);2021-01-24;Salida por Consumo;DOC-39591;Almacen Punto de Venta 2;0;3;-3;1849,1917943143233;1109,515076588594;1849,1917943143233;5,92800934124834;5547,57538294297;1;1
CPE-00030;CAJA DE PASE 100X100X100MM CIEGA (F.G. 1.20);2021-01-24;Entrada por Producci;DOC-20304;Almacen Punto de Ventas 1;0;50;-50;4970,206981209306;2982,1241887255833;4970,206981209306;3,672136162390628;248510,3490604653;1;1
CPEH-00068;CAJA DE PASE 200X200X100MM HERMETICA (F.G. 2.00);2021-01-24;Guia de remision - R;DOC-69748;Almacen Punto de Venta 2;0;36;-36;1200,278271248846;720,1669627493076;1200,278271248846;6,914484126432802;43210,01776495846;1;1
SCHU-0001;CAJA SCHUKO 130X70X50MM  3/4 (F. G. 0.90).;2021-01-24;Entrada por Producci;DOC-55134;Almacen Central;28;0;28;2616,423814001456;1569,8542884008734;2616,423814001456;7,775608047638767;73259,86679204076;1;1
CPE-01002;CAJA DE PASE 300X300X100MM CIEGA (F.G. 2.00).;2021-01-25;Entrada por Producci;DOC-85414;Almacen Punto de Ventas 1;0;7;-7;4394,695826689601;2636,8174960137603;4394,695826689601;5,541725629872664;30762,870786827207;1;1
TAB-00001;TABLERO EMPOTRADO 18 POLOS RIEL  (F.G. 1.20);2021-01-25;Entrada por Compra;DOC-24169;Almacen Punto de Ventas 1;5;0;5;1776,7935052206608;1066,0761031323964;1776,7935052206608;9,905085857284256;8883,967526103304;1;1
BANR-00107;BANDEJA RANURADA 300X80X2400MM C/TAPA (F.G. 1.50);2021-01-25;Entrada por Producci;DOC-98754;Almacen Central;0;5;-5;3630,3051258449423;2178,1830755069655;3630,3051258449423;9,1755969096732;18151,52562922471;1;1
CR-00111;CURVA HORIZONTAL 90° RANU 600X100MM C/TAPA (F.G. 2.00);2021-01-25;Entrada por Compra;DOC-37576;Almacen Punto de Venta 2;3;0;3;4282,962163432677;2569,777298059606;4282,962163432677;6,227776477164262;12848,886490298031;1;1
BANE-00030;BANDEJA ESCALERILLA 300X70X2400MM C/TAPA ( F. G. 1.50);2021-01-26;Salida por Consumo;DOC-78156;Almacen Central;0;12;-12;2547,812280624096;1528,6873683744575;2547,812280624096;8,50110802079779;30573,74736748915;1;1
CTF-00002;CAJA TELEF. 300X300X120MM (F.G. 1.15);2021-01-26;Guia de remision - R;DOC-97476;Almacen Central;0;36;-36;2937,1081699314177;1762,2649019588505;2937,1081699314177;9,773515245642626;105735,89411753103;1;1
CCL-00002;CAJA CONDULET TIPO C 3/4;2021-01-26;Entrada por Compra;DOC-81247;Almacen Punto de Venta 2;0;9;-9;1901,8443911099175;1141,1066346659504;1901,8443911099175;7,704732651128877;17116,599519989257;1;1
CPE-00911;CAJA DE PASE 100X100X150MM CIEGA (F. G. 0.75);2021-01-26;Salida por Consumo;DOC-65525;Almacen Central;0;13;-13;2380,6836600647716;1428,410196038863;2380,6836600647716;0,3904217803285426;30948,88758084203;1;1
TR-00019;TEE HORIZONTAL 90° RANU 400X100MM C/TAPA (F.G. 1.50);2021-01-26;Guia de remision - R;DOC-35067;Almacen Punto de Ventas 1;0;20;-20;651,1693797646725;390,7016278588035;651,1693797646725;8,719960870094637;13023,38759529345;1;1
TPH-00021;TAPA OCTOG 1/2 (F. G. 1.50);2021-01-27;Salida por Consumo;DOC-49939;Almacen Punto de Venta 2;0;8;-8;1227,1342188273218;736,2805312963931;1227,1342188273218;4,491873625024928;9817,073750618574;1;1
CPE-00868;CAJA DE PASE 800X500X200MM CIEGA (F.G. 1.20);2021-01-27;Guia de remision - R;DOC-91198;Almacen Punto de Venta 2;0;47;-47;1138,3797030596304;683,0278218357782;1138,3797030596304;6,91697833302313;53503,84604380263;1;1
CPE-00407;CAJA DE PASE 4870X300X200MM (F.G.1.50);2021-01-28;Entrada por Compra;DOC-43959;Almacen Punto de Ventas 1;11;0;11;3551,665046928655;2130,999028157193;3551,665046928655;1,2163659185915876;39068,3155162152;1;1
BANR-00086;BANDEJA RANURADA 125X80MM (F.G. 1.50);2021-01-28;Salida por Consumo;DOC-76819;Almacen Central;0;12;-12;359,0958575428111;215,45751452568663;359,0958575428111;0,3134003132829377;4309,150290513733;1;1
MCN-00009;MARCADOR P/CABLE EC-1 NUMERO 9 (ROLLOX1000 PZAS) CHS;2021-01-29;Entrada por Producci;DOC-75996;Almacen Central;0;40;-40;4660,98316576789;2796,5898994607337;4660,98316576789;4,235528244190706;186439,32663071557;1;1
TR-00051;TEE HORIZONTAL 90° RANU 600X110MM C/TAPA (F.G. 1.50);2021-01-29;Guia de remision - R;DOC-24074;Almacen Punto de Ventas 1;0;8;-8;4566,748858878518;2740,049315327111;4566,748858878518;3,914850332198948;36533,990871028145;1;1
CPE-00152;CAJA DE PASE 100X100X40MM  Ø 1/2  (F.G. 0.75);2021-01-29;Salida por Consumo;DOC-19969;Almacen Central;0;17;-17;432,5091262506992;259,5054757504195;432,5091262506992;6,870271570516514;7352,655146261886;1;1
'73;CAJA DE PASE 100X100X50MM 3/4 (F.G.0.60);2021-01-29;Guia de remision - R;DOC-30568;Almacen Punto de Ventas 1;0;2;-2;4004,48426458494;2402,6905587509636;4004,48426458494;0,36161700355715864;8008,96852916988;1;1
MD-00003;"MOLDE PARA SOLDADURA EXOTERMICA MOLDE TIPO T Para cable de  95mm  a 70mm varilla de cobre 3/4""";2021-01-30;Entrada por Compra;DOC-52821;Almacen Central;0;36;-36;2751,5676279691706;1650,9405767815024;2751,5676279691706;3,5249771522493987;99056,43460689014;1;1
BANE-00032;BANDEJA ESCALERILLA 350X100X2400MM C/TAPA ( F. G. 1.50);2021-01-30;Entrada por Compra;DOC-16420;Almacen Punto de Venta 2;0;23;-23;4992,250433246468;2995,3502599478807;4992,250433246468;7,067066067148804;114821,75996466876;1;1
GECI-00011;GAB CONTRA INCEN ADOSAR 600X650X160MM (F.G. 1.20);2021-01-30;Guia de remision - R;DOC-29732;Almacen Punto de Venta 2;0;37;-37;3993,780599265464;2396,2683595592785;3993,780599265464;8,155778870166788;147769,88217282217;1;1
CPVC-00001;"CONECTOR  3/4"" SAP MARCA TUBOPLAST";2021-01-30;Venta Tienda Sin Doc;DOC-60223;Almacen Punto de Ventas 1;0;16;-16;700,071755658256;420,04305339495363;700,071755658256;5,895684728461016;11201,148090532097;1;1
CPE-00702;CAJA DE PASE 950X600X250MM HCO ESP (F.G. 1.20);2021-01-30;Venta Tienda Sin Doc;DOC-60914;Almacen Punto de Venta 2;0;48;-48;3473,252822957376;2083,9516937744256;3473,252822957376;5,159867609494714;166716,13550195404;1;1
CTF-00012;CAJA TELEF. 1100X700X150MM CIEGA (F.G. 1.50);2021-01-31;Entrada por Compra;DOC-37489;Almacen Punto de Venta 2;1;0;1;4620,533162586553;2772,3198975519317;4620,533162586553;2,043910396489763;4620,533162586553;1;1
CTF-00030;CAJA TELEF. 400X400X200MM  (F.G. 1.20);2021-01-31;Salida por Consumo;DOC-71334;Almacen Central;0;34;-34;874,6678805837851;524,800728350271;874,6678805837851;2,2387499138461986;29738,707939848693;1;1
TP-0002;TAPA CIEGA 120X75MM (F.G. 1.20);2021-02-01;Entrada por Producci;DOC-11245;Almacen Punto de Ventas 1;0;39;-39;4776,871870382046;2866,1231222292276;4776,871870382046;1,0230786421138505;186298,00294489978;2;1
TABA-00008;TABLERO T-CEV (F.G. 1.20MM);2021-02-01;Salida por Consumo;DOC-33863;Almacen Punto de Ventas 1;24;0;24;620,7169549418227;372,4301729650936;620,7169549418227;3,0062845191154497;14897,206918603744;2;1
CPE-00306;CAJA DE PASE 2670X200X200MM (F.G. 1.50);2021-02-01;Salida por Consumo;DOC-52566;Almacen Punto de Ventas 1;33;0;33;651,9078121073522;391,14468726441135;651,9078121073522;8,189888011432213;21512,957799542623;2;1
REDUC-00007;REDUCCION DE 800 A 400 X 100MM (F°G° 1.50);2021-02-02;Guia de remision - R;DOC-21205;Almacen Central;13;0;13;741,4624418833748;444,87746513002486;741,4624418833748;2,396152641485152;9639,011744483872;2;1
CPE-00594;CAJA DE PASE 400X400X250MM HCO ESP (F. G. 1.50);2021-02-02;Venta Tienda Sin Doc;DOC-90793;Almacen Central;0;37;-37;3497,6376292984537;2098,582577579072;3497,6376292984537;1,117365835583426;129412,59228404278;2;1
TM-00015;TOMA TELEFONICA RJ-11 BLANCO C/PLACA BLANCO;2021-02-02;Entrada por Compra;DOC-51503;Almacen Punto de Venta 2;0;32;-32;3343,3445150054067;2006,006709003244;3343,3445150054067;2,827039612643044;106987,02448017302;2;1
CR-00073;CURVA VERT. INTERNA ESCALERILLA  400X100MM C/TAPA (F.G. 1.50);2021-02-03;Entrada por Compra;DOC-61880;Almacen Punto de Venta 2;1;0;1;3914,985024788094;2348,9910148728563;3914,985024788094;5,499812396441589;3914,985024788094;2;1
